,author_id,title,country,reviews,date,total_reviews_written,upvote,reviewer_name,ratings,start_time,end_time,companyName,scraped_site
35,5fe341aa755dc1032c015b9a,Thanks,US,"We no longer spend time identifying the logistics for worldwide shipping. The coshipper team manages our shipments like real pros. Meanwhile, I appreciate the quick custom clearance approach. Thanks!",2020-12-23T13:10:02.000Z,5,0,Lloyd Robinson,5.0,2021-05-28 13:37:12.096360,2021-05-28 13:37:14.310404,Coshipper,Trustpilot
36,5fe07e05755dc10b4829bf3b,High-level customer expectations,US,"Coshipper has proven over and over its ability to respond to our business shipping needs in an efficient and timely matter. They care about the products and shipping like it is their own, and we have a partnership that is essential in the world of continued high-level customer expectations.",2020-12-21T10:50:45.000Z,6,0,Lesa Moran,5.0,2021-05-28 13:37:14.310404,2021-05-28 13:37:18.512571,Coshipper,Trustpilot
37,5fd9f27e755dc10b48249102,Thank you for your great service,US,Thank you for your great service. I have been really impressed with the level of customer service Coshipper provides to us. Reliable and honest business.,2020-12-16T11:41:50.000Z,7,0,Sebrina Potter,5.0,2021-05-28 13:37:18.512571,2021-05-28 13:37:18.706688,Coshipper,Trustpilot
38,5fd7386a755dc107e0c2364d,Can’t rate Coshipper less than 5 stars,US,"Can’t rate Coshipper less than 5 stars. Their team handles all our freight-related work at fair shipping rates. Moreover, I just love the facility of overseas warehouse bcoz this becomes a bliss in case of order rescheduling or unexpected delay.",2020-12-14T10:03:22.000Z,7,0,Leslie R.,5.0,2021-05-28 13:37:18.706688,2021-05-28 13:37:20.908634,Coshipper,Trustpilot
39,5fd35c4c755dc107e0bf662e,Good to see my team,US,Good to see my team can manage all shipping needs & demands. Teaming up with Coshipper has been a fruitful deal for us.,2020-12-11T11:47:24.000Z,8,0,Bruce Malone,5.0,2021-05-28 13:37:20.908634,2021-05-28 13:37:25.124920,Coshipper,Trustpilot
40,5fd0a11e755dc10b481c69ca,Coshipper has been amazing freight partner,US,Coshipper has been amazing freight partner for the growth of our business from start to finish. They walked us through all our shipping options with clarity and 100% transparency.,2020-12-09T10:04:14.000Z,8,0,Alexis McCleary,5.0,2021-05-28 13:37:29.333236,2021-05-28 13:37:29.653035,Coshipper,Trustpilot
41,5fce1bd95e693f09949f401e,Thank you,US,We truly appreciate the support given to me by Coshipper in taking care of our shipping needs for startup business in the USA. Their friendly and personal touch which far exceeds the routine business demeanor very satisfying & refreshing. Thank you.,2020-12-07T12:11:05.000Z,8,0,Elmer Munson,5.0,2021-05-28 13:37:29.653035,2021-05-28 13:37:30.907553,Coshipper,Trustpilot
42,5f945a5c798e6f04a41c81c1,We are an importer and exporter for the…,US,"We are an importer and exporter for the last 8 years. We took a chance on using a 3rd party to work with. This is one of those business decisions you scratch your head and ask yourself why you didn’t make this decision years ago. We are proud to call ourselves a client of Coshipper. Part of our problem was we had so many different business needs to attend to and not enough time to complete daily tasks. Working with Coshipper enabled us to spend our time on the other operational and marketing tasks, and less on sourcing and supply chain. I have 100% faith in this team. I’m quite sure I’ll be learning from them as the shipments keep coming in. This is a first class operation. If you have any doubts then I suggest you make an appointment for a visit at their office in Shanghai and meet these folks. I can now spend more time focusing on product development and marketing needs while they handle our China side consolidation and supply chain.",2020-10-24T16:46:20.000Z,1,0,Sherry Walton,5.0,2021-05-28 13:37:30.907553,2021-05-28 13:37:35.130447,Coshipper,Trustpilot
43,5f5b234f02e8570a1c4828a9,I have been sending goods from…,US,I have been sending goods from Coshipper for a long time. All delivery has been reached to the receiver as scheduled. Thank you for sending the tracking details as well. Great shipping service in town!!!,2020-09-11T07:12:15.000Z,4,0,Alfie Carter,5.0,2021-05-28 13:37:35.130447,2021-05-28 13:37:37.312043,Coshipper,Trustpilot
44,5f58b97902e85707dceef4a2,Coshipper has been a trusted,US,"Coshipper has been a trusted, reliable partner for Bailiwick since the first shipment they picked up. They give me peace of mind knowing that my shipments will get to their destinations on time and in good condition. Using their services allows me to focus on other aspects of the job rather than worrying about logistics issues",2020-09-09T11:16:09.000Z,6,0,Brandon Rees,5.0,2021-05-28 13:37:37.312043,2021-05-28 13:37:37.514501,Coshipper,Trustpilot
